Player,Pos,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
Alan Faneca,G,6,9,13,107,206,,,,,,,,,,,,,
"Johnson, Calvin",WR,3,6,9,78,135,,,,,,19,167,1,32,731,11619,83,96
John Lynch\LyncJo00,DB,2,9,13,85,224,,,,,,1,40,0,40,,,,
"Manning, Peyton",QB,7,14,17,176,266,6125,9380,71940,539,251,431,667,18,33,1,-2,0,0
"Pearson, Drew",WR,3,3,10,78,156,5,7,192,3,2,21,189,0,33,489,7822,48,67
Charles Woodson\WoodCh00,DB,4,9,16,120,254,,,,,,1,-3,0,0,2,27,0,19
Steve Atwater\AtwaSt00,DB,2,8,11,81,167,,,,,,,,,,,,,
"Bruce, Isaac",WR,0,4,13,101,223,3,8,81,0,1,25,139,0,30,1024,15208,91,80
"Carmichael, Harold",WR,0,4,11,79,182,1,4,45,1,0,9,64,0,23,590,8985,79,85
Jimbo Covert\CoveJi00,T,2,2,7,57,111,,,,,,,,,,,,,
Bobby Dillon\DillBo00,DB,4,4,8,0,94,,,,,,,,,,,,,
Cliff Harris\HarrCl00,DB,3,6,9,80,141,,,,,,,,,,,,,
Winston Hill\HillWi00,T,0,8,12,78,198,,,,,,,,,,,,,
Steve Hutchinson\HutcSt00,G,5,7,11,94,169,,,,,,,,,,,,,
"James, Edgerrin",RB,1,4,9,113,148,,,,,,3028,12246,80,72,433,3364,11,60
Alex Karras\KarrAl00,DT,3,4,12,98,161,,,,,,,,,,,,,
Troy Polamalu\PolaTr99,DB,4,8,10,95,158,,,,,,,,,,,,,
Donnie Shell\ShelDo00,DB,3,5,11,91,201,,,,,,,,,,2,39,0,20
Duke Slater\SlatDu20,T,0,0,9,0,90,,,,,,,,,,,,,
Mac Speedie\SpeeMa00,E,3,2,7,0,86,,,,,,2,0,0,7,349,5602,33,99
Ed Sprinkle\SpriEd00,DE,0,4,7,0,132,0,1,0,0,0,3,2,0,5,32,451,7,47
Champ Bailey\BailCh00,DB,3,12,14,120,215,,,,,,2,11,1,7,4,89,0,42
Tony Gonzalez\GonzTo00,TE,6,14,16,94,270,1,1,40,0,0,2,14,0,9,1325,15127,111,73
Ty Law\LawxTy00,DB,2,5,12,90,203,,,,,,,,,,,,,
Kevin Mawae\MawaKe00,C,3,8,15,108,241,,,,,,,,,,0,0,0,0
Ed Reed\ReedEd00,DB,5,9,11,99,174,,,,,,,,,,0,0,0,0
Johnny Robinson\RobiJo00,DB,6,7,12,94,164,0,1,0,0,1,150,658,6,49,77,1228,9,74
Robert Brazile\BrazRo00,LB,2,7,10,76,147,,,,,,,,,,,,,
Brian Dawkins\DawkBr00,DB,4,9,15,106,224,,,,,,,,,,1,57,1,57
Jerry Kramer\KramJe00,G,5,3,9,78,130,,,,,,,,,,,,,
Ray Lewis\LewiRa00,LB,7,13,14,160,228,,,,,,,,,,,,,
"Moss, Randy",WR,4,6,12,123,218,4,8,106,2,1,25,159,0,25,982,15292,156,82
"Owens, Terrell",WR,5,6,13,121,219,,,,,,39,251,3,38,1078,15934,153,98
Brian Urlacher\UrlaBr00,LB,4,8,12,116,182,0,1,0,0,0,,,,,1,27,1,27
Morten Andersen\andermor01,K,3,7,0,51,382,,,,,,,,,,,,,
"Davis, Terrell",RB,3,3,5,73,78,,,,,,1655,7607,60,71,169,1280,5,35
Kenny Easley\EaslKe00,DB,3,5,7,65,89,,,,,,,,,,,,,
Jason Taylor\TaylJa03,DE,3,6,12,115,233,,,,,,,,,,0,0,0,0
"Tomlinson, LaDainian",RB,3,5,10,129,170,8,12,143,7,0,3174,13684,145,85,624,4772,17,74
"Warner, Kurt",QB,2,4,8,97,124,2666,4070,32344,208,128,173,286,3,23,1,0,0,0
"Favre, Brett",QB,3,11,19,158,302,6300,10169,71838,508,336,602,1844,14,40,2,-7,0,2
Kevin Greene\GreeKe00,LB,2,5,11,93,228,,,,,,,,,,,,,
"Harrison, Marvin",WR,3,8,12,124,190,,,,,,10,28,0,15,1102,14580,128,80
Orlando Pace\PaceOr00,T,3,7,12,101,169,,,,,,,,,,,,,
"Stabler, Ken",QB,1,4,11,93,184,2270,3793,27938,194,222,118,93,4,18,,,,
